date,time,trade_section,signals,processed_at,fixed_signals
19/11/2024,23:31,**1. **ETH - Long x20**2. **SUI - Long x10**3. **TRX - Long x10**4. **XRP - Short x15**5. **ADA - Short x10**6. **GRT - Short x10**---⚠️ **,ETH:LONG:1;SUI:LONG:1;TRX:LONG:20;XRP:LONG:10;ADA:LONG:10;GRT:SHORT:15,2024-11-30 18:09:20 UTC,ETH:LONG:20;SUI:LONG:10;TRX:LONG:10;XRP:SHORT:15;ADA:SHORT:10;GRT:SHORT:10
20/11/2024,02:31,**1. **BTC - Long x20**2. **ETH - Long x20**3. **FTM - Long x10**4. **SUI - Short x10**5. **ICP - Short x10**6. **ADA - Short x10**⚠️ **,BTC:LONG:1;ETH:LONG:1;FTM:LONG:20;SUI:LONG:20;ICP:LONG:10;ADA:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;FTM:LONG:10;SUI:SHORT:10;ICP:SHORT:10;ADA:SHORT:10
20/11/2024,05:31,**1. Bitcoin (BTC) - Long x202. Ethereum (ETH) - Long x203. Avalanche (AVAX) - Long x154. Dogecoin (DOGE) - Short x105. Tron (TRX) - Short x106. Toncoin (TON) - Short x10⚠️ **,BTC:LONG:1;ETH:LONG:1;ETH:LONG:20;AVAX:LONG:20;DOGE:LONG:20;DOGE:LONG:15;TRX:SHORT:15;TRX:SHORT:10;TON:SHORT:10;TON:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;AVAX:LONG:15;DOGE:SHORT:10;TRX:SHORT:10;TON:SHORT:10
20/11/2024,08:31,- Long TONUSDT x10- Long SOLUSDT x15- Long TAOUSDT x10- Short XRPUSDT x10- Short ADAUSDT x10- Short LINKUSDT x10⚠️,TON:LONG:10;SOL:LONG:10;TAO:LONG:10;XRP:LONG:15;ADA:SHORT:10,2024-11-30 18:09:20 UTC,TON:LONG:10;SOL:LONG:15;TAO:LONG:10;XRP:SHORT:10;ADA:SHORT:10;LINK:SHORT:10
20/11/2024,11:31,"**1. BTC - Long, Leverage: x202. XRP - Long, Leverage: x153. DOGE - Long, Leverage: x104. LINK - Short, Leverage: x105. AVAX - Short, Leverage: x156. UNI - Short, Leverage: x10⚠️ **",BTC:LONG:1;XRP:LONG:1;DOGE:LONG:20;AVAX:SHORT:10;UNI:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;XRP:LONG:15;DOGE:LONG:10;LINK:SHORT:10;AVAX:SHORT:15;UNI:SHORT:10
20/11/2024,15:59,1. BTC - Long x202. ETH - Long x203. TON - Long x154. ADA - Short x105. STX - Short x106. XRP - Short x10⚠️,BTC:LONG:1;ETH:LONG:1;TON:LONG:20;ADA:LONG:20;STX:LONG:15;XRP:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;TON:LONG:15;ADA:SHORT:10;STX:SHORT:10;XRP:SHORT:10
20/11/2024,19:10,**1. AVAX - Long - x10  2. ADA - Long - x15  3. XRP - Long - x15  4. SHIB - Short - x10  5. DOGE - Short - x10  6. SOL - Short - x10⚠️ **,AVAX:LONG:1;ADA:LONG:1;XRP:LONG:2;1000SHIB:LONG:3;DOGE:SHORT:4;SOL:SHORT:5,2024-11-30 18:09:20 UTC,AVAX:LONG:10;ADA:LONG:15;XRP:LONG:15;SHIB:SHORT:10;DOGE:SHORT:10;SOL:SHORT:10
20/11/2024,22:10,- Long BTC x20- Long ETH x20- Long BNB x15- Short ADA x10- Short XRP x10- Short DOGE x10⚠️,BTC:LONG:20;ETH:LONG:20;BNB:LONG:20;ADA:LONG:20;XRP:SHORT:15;DOGE:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;BNB:LONG:15;ADA:SHORT:10;XRP:SHORT:10;DOGE:SHORT:10
21/11/2024,01:10,**- **Long Trades:**    - BTC - Long x20    - ETH - Long x20    - ADA - Long x15  - **Short Trades:**    - XRP - Short x10    - DOGE - Short x10    - SUI - Short x10  ⚠️ **,BTC:LONG:20;ETH:LONG:20;ADA:LONG:20;XRP:LONG:15;DOGE:SHORT:10;SUI:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;ADA:LONG:15;XRP:SHORT:10;DOGE:SHORT:10;SUI:SHORT:10
21/11/2024,04:10,**1. **TAO - Long** - Leverage x102. **SOL - Long** - Leverage x153. **AVAX - Long** - Leverage x154. **SUI - Short** - Leverage x105. **STX - Short** - Leverage x106. **LINK - Short** - Leverage x10---⚠️ **,TAO:LONG:1;SOL:LONG:1;AVAX:LONG:10;SUI:LONG:15;STX:SHORT:15,2024-11-30 18:09:20 UTC,TAO:LONG:10;SOL:LONG:15;AVAX:LONG:15;SUI:SHORT:10;STX:SHORT:10;LINK:SHORT:10
21/11/2024,07:10,Long:1. BTC - Leverage x202. ETH - Leverage x203. ADA - Leverage x10Short:1. SUI - Leverage x102. ICP - Leverage x153. STX - Leverage x10⚠️,BTC:LONG:1;ETH:LONG:1,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;ADA:LONG:10;SUI:SHORT:10;ICP:SHORT:15;STX:SHORT:10
21/11/2024,10:10,**1. ETH - Long - x202. TAO - Long - x153. SUI - Long - x104. ADA - Short - x105. XRP - Short - x106. TRX - Short - x10---⚠️ **,ETH:LONG:1;TAO:LONG:1;SUI:LONG:20;ADA:LONG:15;XRP:LONG:10;TRX:SHORT:10,2024-11-30 18:09:20 UTC,ETH:LONG:20;TAO:LONG:15;SUI:LONG:10;ADA:SHORT:10;XRP:SHORT:10;TRX:SHORT:10
21/11/2024,13:10,**1. **Long TONUSDT - x10** - High bullish sentiment.2. **Short AVAXUSDT - x10** - High bearish sentiment.3. **Long FTMUSDT - x15** - Strong upward potential.4. **Short XRPUSDT - x10** - Significant potential to drop.5. **Long ADAUSDT - x15** - Positive outlook.6. **Short SOLUSDT - x10** - Vulnerable to declines.⚠️ **,TON:LONG:1;AVAX:SHORT:2;FTM:LONG:3;XRP:SHORT:4;ADA:LONG:5;SOL:SHORT:15,2024-11-30 18:09:20 UTC,TON:LONG:10;AVAX:SHORT:10;FTM:LONG:15;XRP:SHORT:10;ADA:LONG:15;SOL:SHORT:10
21/11/2024,16:10,**  1. **Long BTC** - Leverage x20  2. **Long ETH** - Leverage x20  3. **Long AVAX** - Leverage x10  4. **Short SOL** - Leverage x10  5. **Short ADA** - Leverage x10  6. **Short SUI** - Leverage x10  ---⚠️ **,BTC:LONG:1;ETH:LONG:20;AVAX:LONG:20;SOL:SHORT:10;ADA:SHORT:10;SUI:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;AVAX:LONG:10;SOL:SHORT:10;ADA:SHORT:10;SUI:SHORT:10
21/11/2024,19:10,- Long ETH x20- Long ADA x15- Long XRP x15- Short TRX x10- Short GRT x10- Short SHIB x10⚠️,ETH:LONG:20;ADA:LONG:20;XRP:LONG:20;TRX:LONG:15;GRT:SHORT:15;1000SHIB:SHORT:10,2024-11-30 18:09:20 UTC,ETH:LONG:20;ADA:LONG:15;XRP:LONG:15;TRX:SHORT:10;GRT:SHORT:10;SHIB:SHORT:10
21/11/2024,22:10,"**1. **BTC - Long, x20 Leverage**2. **ETH - Long, x20 Leverage**3. **AVAX - Long, x15 Leverage**4. **TRX - Short, x10 Leverage**5. **BNB - Short, x10 Leverage**6. **SOL - Short, x10 Leverage**---⚠️ **",BTC:LONG:1;ETH:LONG:1;AVAX:LONG:2;TRX:LONG:3;BNB:SHORT:4;SOL:SHORT:5,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;AVAX:LONG:15;TRX:SHORT:10;BNB:SHORT:10;SOL:SHORT:10
22/11/2024,01:10,"1. BTC - Long, x202. ETH - Long, x203. XRP - Long, x104. BNB - Short, x105. SOL - Short, x106. FTM - Short, x10⚠️",BTC:LONG:1;ETH:LONG:1;XRP:LONG:20;BNB:LONG:20;SOL:LONG:10;FTM:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;XRP:LONG:10;BNB:SHORT:10;SOL:SHORT:10;FTM:SHORT:10
22/11/2024,04:10,1. Long Bitcoin (BTC) - Leverage x202. Long Ethereum (ETH) - Leverage x203. Long TAO (TAO) - Leverage x154. Short SUI (SUI) - Leverage x105. Short XRP (XRP) - Leverage x106. Short ADA (ADA) - Leverage x10⚠️,BTC:LONG:1;ETH:LONG:20;TAO:LONG:20;SUI:SHORT:15;XRP:SHORT:10;ADA:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;TAO:LONG:15;SUI:SHORT:10;XRP:SHORT:10;ADA:SHORT:10
22/11/2024,07:10,"**- **Long**: BNB x15, XRP x15, TRX x10- **Short**: SHIB x10, DOGE x10, SOL x10⚠️ **",BNB:LONG:15;XRP:LONG:15;TRX:LONG:15;1000SHIB:SHORT:15;DOGE:SHORT:10;SOL:SHORT:100,2024-11-30 18:09:20 UTC,BNB:LONG:15;XRP:LONG:15;TRX:LONG:10;SHIB:SHORT:10;DOGE:SHORT:10;SOL:SHORT:10
22/11/2024,10:10,"1. DOGE - Long, x102. ICP - Long, x103. UNI - Long, x104. ADA - Short, x155. XRP - Short, x156. AVAX - Short, x15⚠️",DOGE:LONG:1;ICP:LONG:1;UNI:LONG:10;ADA:LONG:10;XRP:LONG:10;AVAX:SHORT:15,2024-11-30 18:09:20 UTC,DOGE:LONG:10;ICP:LONG:10;UNI:LONG:10;ADA:SHORT:15;XRP:SHORT:15;AVAX:SHORT:15
22/11/2024,13:10,"1. ADAUSDT - Long, x102. XRPUSDT - Long, x153. TRXUSDT - Long, x104. STXUSDT - Short, x105. TONUSDT - Short, x156. SUIUSDT - Short, x10⚠️",ADA:LONG:1;XRP:LONG:1;TRX:LONG:10;STX:LONG:15;TON:LONG:10;SUI:SHORT:10,2024-11-30 18:09:20 UTC,ADA:LONG:10;XRP:LONG:15;TRX:LONG:10;STX:SHORT:10;TON:SHORT:15;SUI:SHORT:10
22/11/2024,16:10,**- BTC Long x20- ETH Long x20- FTM Short x10- DOGE Short x10- GRT Long x10- XRP Short x10⚠️ **,BTC:LONG:20;ETH:LONG:20;FTM:LONG:20;DOGE:LONG:20;GRT:SHORT:10;XRP:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;FTM:SHORT:10;DOGE:SHORT:10;GRT:LONG:10;XRP:SHORT:10
22/11/2024,19:10,- Long BTC x20- Long ADA x15- Long AVAX x15- Short TON x10- Short SUI x10- Short LINK x10⚠️,BTC:LONG:20;ADA:LONG:20;AVAX:LONG:20;TON:LONG:15;SUI:SHORT:15,2024-11-30 18:09:20 UTC,BTC:LONG:20;ADA:LONG:15;AVAX:LONG:15;TON:SHORT:10;SUI:SHORT:10;LINK:SHORT:10
22/11/2024,22:10,"**- **BTC**: Long, x20 Leverage- **ETH**: Long, x20 Leverage- **SOL**: Long, x15 Leverage- **DOGE**: Short, x10 Leverage- **TON**: Short, x15 Leverage- **XRP**: Short, x10 Leverage⚠️ **",BTC:LONG:20;ETH:LONG:20;SOL:LONG:20;DOGE:LONG:15;TON:SHORT:10;XRP:SHORT:15,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;SOL:LONG:15;DOGE:SHORT:10;TON:SHORT:15;XRP:SHORT:10
23/11/2024,01:10,"- Long: DOGE, Leverage x10- Long: SOL, Leverage x10- Long: ETH, Leverage x20- Short: ADA, Leverage x10- Short: XRP, Leverage x10- Short: LINK, Leverage x15⚠️",DOGE:LONG:10;SOL:LONG:10;ETH:LONG:10;ADA:LONG:20;XRP:SHORT:10,2024-11-30 18:09:20 UTC,DOGE:LONG:10;SOL:LONG:10;ETH:LONG:20;ADA:SHORT:10;XRP:SHORT:10;LINK:SHORT:15
23/11/2024,04:10,1. ADA - Long x102. FTM - Long x103. BTC - Long x204. DOGE - Short x105. LTC - Short x106. SOL - Short x10⚠️,ADA:LONG:1;FTM:LONG:1;BTC:LONG:10;DOGE:LONG:10;LTC:LONG:20;SOL:SHORT:10,2024-11-30 18:09:20 UTC,ADA:LONG:10;FTM:LONG:10;BTC:LONG:20;DOGE:SHORT:10;LTC:SHORT:10;SOL:SHORT:10
23/11/2024,07:10,"- BTC: Long, x20- ETH: Long, x20- TRX: Long, x15- ADA: Short, x10- LTC: Short, x10- UNI: Short, x10⚠️",BTC:LONG:20;ETH:LONG:20;TRX:LONG:20;ADA:LONG:20;LTC:LONG:15;UNI:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;TRX:LONG:15;ADA:SHORT:10;LTC:SHORT:10;UNI:SHORT:10
23/11/2024,10:10,- Long BTC x20- Long ADA x10- Long SOL x10- Short LINK x15- Short AVAX x15- Short UNI x10⚠️,BTC:LONG:20;ADA:LONG:20;SOL:LONG:20;AVAX:SHORT:10;UNI:SHORT:15,2024-11-30 18:09:20 UTC,BTC:LONG:20;ADA:LONG:10;SOL:LONG:10;LINK:SHORT:15;AVAX:SHORT:15;UNI:SHORT:10
23/11/2024,13:10,1. Long TON x102. Long LTC x103. Long LINK x104. Short SOL x155. Short TRX x156. Short UNI x15⚠️,TON:LONG:1;LTC:LONG:1;SOL:LONG:10;TRX:SHORT:10;UNI:SHORT:15,2024-11-30 18:09:20 UTC,TON:LONG:10;LTC:LONG:10;LINK:LONG:10;SOL:SHORT:15;TRX:SHORT:15;UNI:SHORT:15
23/11/2024,16:10,**1. LINK - Long x15  2. TAO - Long x15  3. FTM - Long x20  4. UNI - Short x10  5. ADA - Short x10  6. ICP - Short x15⚠️ **,TAO:LONG:1;FTM:LONG:2;UNI:LONG:3;ADA:SHORT:4;ICP:SHORT:5,2024-11-30 18:09:20 UTC,LINK:LONG:15;TAO:LONG:15;FTM:LONG:20;UNI:SHORT:10;ADA:SHORT:10;ICP:SHORT:15
23/11/2024,19:10,1. BTC - Long x202. ETH - Long x203. ADA - Long x154. AVAX - Short x105. LINK - Short x106. XRP - Short x10⚠️,BTC:LONG:1;ETH:LONG:1;ADA:LONG:20;AVAX:LONG:20;XRP:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;ADA:LONG:15;AVAX:SHORT:10;LINK:SHORT:10;XRP:SHORT:10
23/11/2024,22:10,"1. BTC - Long, Leverage x202. ETH - Long, Leverage x203. SOL - Long, Leverage x154. ICP - Short, Leverage x105. LINK - Short, Leverage x106. BNB - Short, Leverage x15⚠️",BTC:LONG:1;ETH:LONG:1;SOL:LONG:20;ICP:LONG:20;BNB:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;SOL:LONG:15;ICP:SHORT:10;LINK:SHORT:10;BNB:SHORT:15
24/11/2024,01:10,- Long BTC x20- Long ETH x20- Long SOL x15- Short GRT x10- Short LINK x10- Short UNI x10⚠️,BTC:LONG:20;ETH:LONG:20;SOL:LONG:20;GRT:LONG:20;UNI:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;SOL:LONG:15;GRT:SHORT:10;LINK:SHORT:10;UNI:SHORT:10
24/11/2024,04:10,- Long BTCUSDT x20- Long ADAUSDT x10- Long LTCUSDT x15- Short UNIUSDT x10- Short TONUSDT x10- Short ICPUSDT x15⚠️,BTC:LONG:20;ADA:LONG:20;LTC:LONG:20;UNI:LONG:10;TON:SHORT:15;ICP:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ADA:LONG:10;LTC:LONG:15;UNI:SHORT:10;TON:SHORT:10;ICP:SHORT:15
24/11/2024,07:10,- Long LTC x10- Long ADA x10- Long ETH x20- Short STX x10- Short SUI x10- Short ICP x10⚠️,LTC:LONG:10;ADA:LONG:10;ETH:LONG:10;STX:LONG:10;SUI:SHORT:20;ICP:SHORT:10,2024-11-30 18:09:20 UTC,LTC:LONG:10;ADA:LONG:10;ETH:LONG:20;STX:SHORT:10;SUI:SHORT:10;ICP:SHORT:10
24/11/2024,10:10,**1. BTC - Long x202. ETH - Long x203. ADA - Long x154. DOGE - Short x105. SOL - Short x106. GRT - Short x10---⚠️ **,BTC:LONG:1;ETH:LONG:1;ADA:LONG:20;DOGE:LONG:20;SOL:LONG:15;GRT:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;ADA:LONG:15;DOGE:SHORT:10;SOL:SHORT:10;GRT:SHORT:10
24/11/2024,13:10,**1. Long BTCUSDT - x20 Leverage2. Long ETHUSDT - x20 Leverage3. Long FTMUSDT - x10 Leverage4. Short ADAUSDT - x15 Leverage5. Short GRTUSDT - x10 Leverage6. Short BTCUSDT - x20 Leverage⚠️ **,BTC:LONG:1;ETH:LONG:20;FTM:LONG:20;ADA:LONG:10;GRT:SHORT:15;BTC:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;FTM:LONG:10;ADA:SHORT:15;GRT:SHORT:10;BTC:SHORT:20
24/11/2024,16:10,1. BTC - Long x202. ETH - Long x203. ADA - Long x154. FTM - Short x105. DOGE - Short x106. TRX - Short x10⚠️,BTC:LONG:1;ETH:LONG:1;ADA:LONG:20;FTM:LONG:20;DOGE:LONG:15;TRX:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;ADA:LONG:15;FTM:SHORT:10;DOGE:SHORT:10;TRX:SHORT:10
24/11/2024,19:10,"**- **Long Trades:**  - **Bitcoin (BTC)** - Long, x20 Leverage  - **Avalanche (AVAX)** - Long, x15 Leverage  - **Chainlink (LINK)** - Long, x15 Leverage- **Short Trades:**  - **Dogecoin (DOGE)** - Short, x10 Leverage  - **Uniswap (UNI)** - Short, x10 Leverage  - **Internet Computer (ICP)** - Short, x10 Leverage⚠️ **",BTC:LONG:20;AVAX:LONG:20;DOGE:LONG:15;DOGE:SHORT:15;UNI:SHORT:10;ICP:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;AVAX:LONG:15;LINK:LONG:15;DOGE:SHORT:10;UNI:SHORT:10;ICP:SHORT:10
24/11/2024,22:10,- Long: UNIUSDT x10- Long: STXUSDT x15- Long: LINKUSDT x10- Short: AVAXUSDT x10- Short: SOLUSDT x10- Short: BNBUSDT x15⚠️,UNI:LONG:10;STX:LONG:10;AVAX:LONG:15;SOL:SHORT:10;BNB:SHORT:10,2024-11-30 18:09:20 UTC,UNI:LONG:10;STX:LONG:15;LINK:LONG:10;AVAX:SHORT:10;SOL:SHORT:10;BNB:SHORT:15
25/11/2024,01:10,- Long BTC x20- Long ETH x20- Long ADA x10- Short STX x10- Short TAO x10- Short FTM x10⚠️,BTC:LONG:20;ETH:LONG:20;ADA:LONG:20;STX:LONG:20;TAO:SHORT:10;FTM:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;ADA:LONG:10;STX:SHORT:10;TAO:SHORT:10;FTM:SHORT:10
25/11/2024,04:10,"**1. **SOLUSDT - Long, x10**  2. **GRTUSDT - Long, x10**  3. **STXUSDT - Long, x10**  4. **ICPUSDT - Short, x15**  5. **ADAUSDT - Short, x15**  6. **LINKUSDT - Short, x15**  ⚠️ **",SOL:LONG:1;GRT:LONG:1;STX:LONG:2;ICP:LONG:3;ADA:SHORT:4,2024-11-30 18:09:20 UTC,SOL:LONG:10;GRT:LONG:10;STX:LONG:10;ICP:SHORT:15;ADA:SHORT:15;LINK:SHORT:15
25/11/2024,07:10,"- Bitcoin (BTC): Long, Leverage x20- Ethereum (ETH): Long, Leverage x20- ICP: Long, Leverage x15- AVAX: Short, Leverage x10- TAO: Short, Leverage x10- DOGE: Short, Leverage x10---⚠️",BTC:LONG:20;ETH:LONG:20;ICP:LONG:20;AVAX:LONG:20;TAO:SHORT:15;DOGE:SHORT:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ETH:LONG:20;ICP:LONG:15;AVAX:SHORT:10;TAO:SHORT:10;DOGE:SHORT:10
25/11/2024,10:10,- Long ETH x20- Long ADA x15- Long BNB x15- Short ICP x10- Short DOGE x10- Short SHIB x10⚠️,ETH:LONG:20;ADA:LONG:20;BNB:LONG:20;ICP:LONG:15;DOGE:SHORT:15;1000SHIB:SHORT:10,2024-11-30 18:09:20 UTC,ETH:LONG:20;ADA:LONG:15;BNB:LONG:15;ICP:SHORT:10;DOGE:SHORT:10;SHIB:SHORT:10
25/11/2024,13:10,"- Long Trades: TAOUSDT (x10 leverage), ETHUSDT (x20 leverage), AVAXUSDT (x15 leverage)- Short Trades: SOLUSDT (x10 leverage), FTMUSDT (x10 leverage), XRPUSDT (x15 leverage)⚠️",TAO:LONG:10;ETH:LONG:10;AVAX:SHORT:10;SOL:SHORT:15;FTM:SHORT:10,2024-11-30 18:09:20 UTC,TAO:LONG:10;ETH:LONG:20;AVAX:LONG:15;SOL:SHORT:10;FTM:SHORT:10;XRP:SHORT:15
25/11/2024,16:10,"- BTCUSDT: Short, Leverage x20 - ETHUSDT: Long, Leverage x20 - ADAUSDT: Long, Leverage x10 - FTMUSDT: Short, Leverage x10 - TONUSDT: Long, Leverage x10 - XRPUSDT: Short, Leverage x15 ⚠️",BTC:SHORT:20;ETH:SHORT:20;ADA:LONG:20;FTM:LONG:20;TON:SHORT:10;XRP:LONG:10,2024-11-30 18:09:20 UTC,BTC:SHORT:20;ETH:LONG:20;ADA:LONG:10;FTM:SHORT:10;TON:LONG:10;XRP:SHORT:15
25/11/2024,19:10,- Long BTCUSDT: x20- Short ADAUSDT: x10- Long DOGEUSDT: x10- Short AVAXUSDT: x10- Long SUIUSDT: x10- Short UNIUSDT: x10⚠️,BTC:LONG:20;ADA:LONG:20;DOGE:SHORT:20;AVAX:LONG:10;SUI:SHORT:10;UNI:LONG:10,2024-11-30 18:09:20 UTC,BTC:LONG:20;ADA:SHORT:10;DOGE:LONG:10;AVAX:SHORT:10;SUI:LONG:10;UNI:SHORT:10
25/11/2024,22:10,**1. **TONUSDT - Long x10**2. **STXUSDT - Long x10**3. **UNIUSDT - Long x10**4. **FTMUSDT - Short x10**5. **ICPUSDT - Short x10**6. **ETHUSDT - Short x20**⚠️ **,TON:LONG:1;STX:LONG:1;UNI:LONG:10;FTM:LONG:10;ICP:LONG:10;ETH:SHORT:10,2024-11-30 18:09:20 UTC,TON:LONG:10;STX:LONG:10;UNI:LONG:10;FTM:SHORT:10;ICP:SHORT:10;ETH:SHORT:20
