date,time,token,position,leverage
17/11/2024,08:31,BTC,LONG,1
17/11/2024,08:31,ETH,LONG,1
17/11/2024,08:31,ETH,LONG,202
17/11/2024,08:31,ADA,LONG,202
17/11/2024,08:31,ADA,LONG,203
17/11/2024,08:31,AVAX,LONG,104
17/11/2024,08:31,XRP,SHORT,104
17/11/2024,08:31,XRP,SHORT,105
17/11/2024,08:31,ICP,SHORT,106
17/11/2024,11:31,ADA,LONG,10
17/11/2024,11:31,ETH,LONG,10
17/11/2024,11:31,XRP,LONG,10
17/11/2024,11:31,FTM,LONG,15
17/11/2024,11:31,DOGE,SHORT,10
17/11/2024,11:31,1000SHIB,SHORT,10
17/11/2024,14:31,ETH,LONG,20
17/11/2024,14:31,TON,LONG,20
17/11/2024,14:31,FTM,LONG,15
17/11/2024,14:31,ADA,SHORT,10
17/11/2024,14:31,AVAX,SHORT,10
17/11/2024,17:31,BTC,LONG,20
17/11/2024,17:31,ETH,LONG,20
17/11/2024,17:31,TRX,LONG,20
17/11/2024,17:31,ADA,LONG,20
17/11/2024,17:31,GRT,SHORT,15
17/11/2024,17:31,DOGE,SHORT,10
17/11/2024,20:31,AVAX,LONG,1
17/11/2024,20:31,TRX,LONG,152
17/11/2024,20:31,ADA,LONG,103
17/11/2024,20:31,XRP,LONG,104
17/11/2024,20:31,SUI,SHORT,105
17/11/2024,20:31,LTC,SHORT,106
17/11/2024,23:31,ADA,LONG,1
17/11/2024,23:31,SUI,LONG,1
17/11/2024,23:31,XRP,LONG,152
17/11/2024,23:31,SOL,LONG,103
17/11/2024,23:31,TRX,LONG,104
17/11/2024,23:31,DOGE,SHORT,105
18/11/2024,02:31,BTC,LONG,1
18/11/2024,02:31,ETH,LONG,1
18/11/2024,02:31,FTM,LONG,202
18/11/2024,02:31,TRX,LONG,203
18/11/2024,02:31,ICP,LONG,104
18/11/2024,02:31,LTC,SHORT,105
18/11/2024,05:31,BTC,LONG,20
18/11/2024,05:31,ETH,LONG,20
18/11/2024,05:31,TAO,LONG,20
18/11/2024,05:31,LTC,SHORT,20
18/11/2024,05:31,TRX,SHORT,10
18/11/2024,05:31,TON,LONG,10
18/11/2024,08:31,BTC,SHORT,1
18/11/2024,08:31,ETH,SHORT,1
18/11/2024,08:31,DOGE,SHORT,202
18/11/2024,08:31,SUI,SHORT,104
18/11/2024,08:31,GRT,LONG,105
18/11/2024,11:31,BTC,LONG,20
18/11/2024,11:31,ETH,LONG,20
18/11/2024,11:31,TON,LONG,20
18/11/2024,11:31,SOL,SHORT,10
18/11/2024,11:31,ADA,SHORT,10
18/11/2024,14:31,BTC,LONG,20
18/11/2024,14:31,TRX,LONG,20
18/11/2024,14:31,UNI,LONG,20
18/11/2024,14:31,SUI,LONG,10
18/11/2024,14:31,SOL,SHORT,15
18/11/2024,14:31,ADA,SHORT,10
18/11/2024,17:31,TAO,LONG,10
18/11/2024,17:31,ADA,LONG,10
18/11/2024,17:31,AVAX,LONG,10
18/11/2024,17:31,XRP,LONG,10
18/11/2024,17:31,TRX,SHORT,15
18/11/2024,17:31,DOGE,SHORT,10
18/11/2024,20:31,BTC,SHORT,1
18/11/2024,20:31,ETH,SHORT,1
18/11/2024,20:31,XRP,SHORT,202
18/11/2024,20:31,DOGE,LONG,203
18/11/2024,20:31,ICP,LONG,154
18/11/2024,20:31,ADA,SHORT,105
18/11/2024,23:31,BTC,LONG,20
18/11/2024,23:31,GRT,SHORT,20
18/11/2024,23:31,TON,LONG,10
18/11/2024,23:31,ICP,SHORT,15
18/11/2024,23:31,ADA,LONG,10
18/11/2024,23:31,LTC,LONG,15
18/11/2024,23:31,LTC,SHORT,15
19/11/2024,02:31,LTC,LONG,1
19/11/2024,02:31,ETH,LONG,1
19/11/2024,02:31,BNB,LONG,102
19/11/2024,02:31,XRP,LONG,203
19/11/2024,02:31,ICP,LONG,154
19/11/2024,02:31,STX,SHORT,105
19/11/2024,05:31,SOL,LONG,1
19/11/2024,05:31,1000SHIB,LONG,1
19/11/2024,05:31,ICP,LONG,102
19/11/2024,05:31,TRX,LONG,103
19/11/2024,05:31,AVAX,LONG,104
19/11/2024,05:31,ADA,SHORT,155
19/11/2024,08:31,BTC,LONG,20
19/11/2024,08:31,ETH,LONG,20
19/11/2024,08:31,GRT,SHORT,20
19/11/2024,08:31,ADA,LONG,20
19/11/2024,08:31,UNI,SHORT,10
19/11/2024,08:31,AVAX,LONG,15
19/11/2024,11:31,BTC,LONG,1
19/11/2024,11:31,TON,SHORT,15
19/11/2024,14:31,BTC,LONG,1
19/11/2024,14:31,ETH,LONG,1
19/11/2024,14:31,DOGE,LONG,202
19/11/2024,14:31,GRT,LONG,203
19/11/2024,14:31,ADA,SHORT,104
19/11/2024,17:31,XRP,LONG,1
19/11/2024,17:31,GRT,LONG,102
19/11/2024,17:31,ADA,LONG,103
19/11/2024,17:31,TRX,LONG,154
19/11/2024,17:31,ICP,SHORT,105
19/11/2024,17:31,SUI,SHORT,156
19/11/2024,20:31,BTC,LONG,20
19/11/2024,20:31,ETH,LONG,20
19/11/2024,20:31,DOGE,SHORT,20
19/11/2024,20:31,SUI,LONG,10
19/11/2024,20:31,TRX,SHORT,10
19/11/2024,20:31,XRP,LONG,15
19/11/2024,23:31,ETH,LONG,1
19/11/2024,23:31,SUI,LONG,1
19/11/2024,23:31,TRX,LONG,202
19/11/2024,23:31,XRP,LONG,103
19/11/2024,23:31,ADA,LONG,104
19/11/2024,23:31,GRT,SHORT,155
20/11/2024,02:31,BTC,LONG,1
20/11/2024,02:31,ETH,LONG,1
20/11/2024,02:31,FTM,LONG,202
20/11/2024,02:31,SUI,LONG,203
20/11/2024,02:31,ICP,LONG,104
20/11/2024,02:31,ADA,SHORT,105
20/11/2024,05:31,BTC,LONG,1
20/11/2024,05:31,ETH,LONG,1
20/11/2024,05:31,ETH,LONG,202
20/11/2024,05:31,AVAX,LONG,203
20/11/2024,05:31,DOGE,LONG,203
20/11/2024,05:31,DOGE,LONG,154
20/11/2024,05:31,TRX,SHORT,154
20/11/2024,05:31,TRX,SHORT,105
20/11/2024,05:31,TON,SHORT,105
20/11/2024,05:31,TON,SHORT,106
20/11/2024,08:31,TON,LONG,10
20/11/2024,08:31,SOL,LONG,10
20/11/2024,08:31,TAO,LONG,10
20/11/2024,08:31,XRP,LONG,15
20/11/2024,08:31,ADA,SHORT,10
20/11/2024,11:31,BTC,LONG,1
20/11/2024,11:31,XRP,LONG,1
20/11/2024,11:31,DOGE,LONG,202
20/11/2024,11:31,AVAX,SHORT,104
20/11/2024,11:31,UNI,SHORT,105
20/11/2024,15:59,BTC,LONG,1
20/11/2024,15:59,ETH,LONG,1
20/11/2024,15:59,TON,LONG,202
20/11/2024,15:59,ADA,LONG,203
20/11/2024,15:59,STX,LONG,154
20/11/2024,15:59,XRP,SHORT,105
20/11/2024,19:10,AVAX,LONG,1
20/11/2024,19:10,ADA,LONG,1
20/11/2024,19:10,XRP,LONG,2
20/11/2024,19:10,1000SHIB,LONG,3
20/11/2024,19:10,DOGE,SHORT,4
20/11/2024,19:10,SOL,SHORT,5
20/11/2024,22:10,BTC,LONG,20
20/11/2024,22:10,ETH,LONG,20
20/11/2024,22:10,BNB,LONG,20
20/11/2024,22:10,ADA,LONG,20
20/11/2024,22:10,XRP,SHORT,15
20/11/2024,22:10,DOGE,SHORT,10
21/11/2024,01:10,BTC,LONG,20
21/11/2024,01:10,ETH,LONG,20
21/11/2024,01:10,ADA,LONG,20
21/11/2024,01:10,XRP,LONG,15
21/11/2024,01:10,DOGE,SHORT,10
21/11/2024,01:10,SUI,SHORT,10
21/11/2024,04:10,TAO,LONG,1
21/11/2024,04:10,SOL,LONG,1
21/11/2024,04:10,AVAX,LONG,102
21/11/2024,04:10,SUI,LONG,153
21/11/2024,04:10,STX,SHORT,154
21/11/2024,07:10,BTC,LONG,1
21/11/2024,07:10,ETH,LONG,1
21/11/2024,10:10,ETH,LONG,1
21/11/2024,10:10,TAO,LONG,1
21/11/2024,10:10,SUI,LONG,202
21/11/2024,10:10,ADA,LONG,153
21/11/2024,10:10,XRP,LONG,104
21/11/2024,10:10,TRX,SHORT,105
21/11/2024,13:10,TON,LONG,1
21/11/2024,13:10,AVAX,SHORT,2
21/11/2024,13:10,FTM,LONG,3
21/11/2024,13:10,XRP,SHORT,4
21/11/2024,13:10,ADA,LONG,5
21/11/2024,13:10,SOL,SHORT,15
21/11/2024,16:10,BTC,LONG,1
21/11/2024,16:10,ETH,LONG,20
21/11/2024,16:10,AVAX,LONG,20
21/11/2024,16:10,SOL,SHORT,10
21/11/2024,16:10,ADA,SHORT,10
21/11/2024,16:10,SUI,SHORT,10
21/11/2024,19:10,ETH,LONG,20
21/11/2024,19:10,ADA,LONG,20
21/11/2024,19:10,XRP,LONG,20
21/11/2024,19:10,TRX,LONG,15
21/11/2024,19:10,GRT,SHORT,15
21/11/2024,19:10,1000SHIB,SHORT,10
21/11/2024,22:10,BTC,LONG,1
21/11/2024,22:10,ETH,LONG,1
21/11/2024,22:10,AVAX,LONG,2
21/11/2024,22:10,TRX,LONG,3
21/11/2024,22:10,BNB,SHORT,4
21/11/2024,22:10,SOL,SHORT,5
22/11/2024,01:10,BTC,LONG,1
22/11/2024,01:10,ETH,LONG,1
22/11/2024,01:10,XRP,LONG,202
22/11/2024,01:10,BNB,LONG,203
22/11/2024,01:10,SOL,LONG,104
22/11/2024,01:10,FTM,SHORT,105
22/11/2024,04:10,BTC,LONG,1
22/11/2024,04:10,ETH,LONG,202
22/11/2024,04:10,TAO,LONG,203
22/11/2024,04:10,SUI,SHORT,154
22/11/2024,04:10,XRP,SHORT,105
22/11/2024,04:10,ADA,SHORT,106
22/11/2024,07:10,BNB,LONG,15
22/11/2024,07:10,XRP,LONG,15
22/11/2024,07:10,TRX,LONG,15
22/11/2024,07:10,1000SHIB,SHORT,15
22/11/2024,07:10,DOGE,SHORT,10
22/11/2024,07:10,SOL,SHORT,1000
22/11/2024,10:10,DOGE,LONG,1
22/11/2024,10:10,ICP,LONG,1
22/11/2024,10:10,UNI,LONG,102
22/11/2024,10:10,ADA,LONG,103
22/11/2024,10:10,XRP,LONG,104
22/11/2024,10:10,AVAX,SHORT,155
22/11/2024,13:10,ADA,LONG,1
22/11/2024,13:10,XRP,LONG,1
22/11/2024,13:10,TRX,LONG,102
22/11/2024,13:10,STX,LONG,153
22/11/2024,13:10,TON,LONG,104
22/11/2024,13:10,SUI,SHORT,105
22/11/2024,16:10,BTC,LONG,20
22/11/2024,16:10,ETH,LONG,20
22/11/2024,16:10,FTM,LONG,20
22/11/2024,16:10,DOGE,LONG,20
22/11/2024,16:10,GRT,SHORT,10
22/11/2024,16:10,XRP,SHORT,10
22/11/2024,19:10,BTC,LONG,20
22/11/2024,19:10,ADA,LONG,20
22/11/2024,19:10,AVAX,LONG,20
22/11/2024,19:10,TON,LONG,15
22/11/2024,19:10,SUI,SHORT,15
22/11/2024,22:10,BTC,LONG,20
22/11/2024,22:10,ETH,LONG,20
22/11/2024,22:10,SOL,LONG,20
22/11/2024,22:10,DOGE,LONG,15
22/11/2024,22:10,TON,SHORT,10
22/11/2024,22:10,XRP,SHORT,15
23/11/2024,01:10,DOGE,LONG,10
23/11/2024,01:10,SOL,LONG,10
23/11/2024,01:10,ETH,LONG,10
23/11/2024,01:10,ADA,LONG,20
23/11/2024,01:10,XRP,SHORT,10
23/11/2024,04:10,ADA,LONG,1
23/11/2024,04:10,FTM,LONG,1
23/11/2024,04:10,BTC,LONG,102
23/11/2024,04:10,DOGE,LONG,103
23/11/2024,04:10,LTC,LONG,204
23/11/2024,04:10,SOL,SHORT,105
23/11/2024,07:10,BTC,LONG,20
23/11/2024,07:10,ETH,LONG,20
23/11/2024,07:10,TRX,LONG,20
23/11/2024,07:10,ADA,LONG,20
23/11/2024,07:10,LTC,LONG,15
23/11/2024,07:10,UNI,SHORT,10
23/11/2024,10:10,BTC,LONG,20
23/11/2024,10:10,ADA,LONG,20
23/11/2024,10:10,SOL,LONG,20
23/11/2024,10:10,AVAX,SHORT,10
23/11/2024,10:10,UNI,SHORT,15
23/11/2024,13:10,TON,LONG,1
23/11/2024,13:10,LTC,LONG,1
23/11/2024,13:10,SOL,LONG,103
23/11/2024,13:10,TRX,SHORT,104
23/11/2024,13:10,UNI,SHORT,155
23/11/2024,16:10,TAO,LONG,1
23/11/2024,16:10,FTM,LONG,2
23/11/2024,16:10,UNI,LONG,3
23/11/2024,16:10,ADA,SHORT,4
23/11/2024,16:10,ICP,SHORT,5
23/11/2024,19:10,BTC,LONG,1
23/11/2024,19:10,ETH,LONG,1
23/11/2024,19:10,ADA,LONG,202
23/11/2024,19:10,AVAX,LONG,203
23/11/2024,19:10,XRP,SHORT,105
23/11/2024,22:10,BTC,LONG,1
23/11/2024,22:10,ETH,LONG,1
23/11/2024,22:10,SOL,LONG,202
23/11/2024,22:10,ICP,LONG,203
23/11/2024,22:10,BNB,SHORT,105
24/11/2024,01:10,BTC,LONG,20
24/11/2024,01:10,ETH,LONG,20
24/11/2024,01:10,SOL,LONG,20
24/11/2024,01:10,GRT,LONG,20
24/11/2024,01:10,UNI,SHORT,10
24/11/2024,04:10,BTC,LONG,20
24/11/2024,04:10,ADA,LONG,20
24/11/2024,04:10,LTC,LONG,20
24/11/2024,04:10,UNI,LONG,10
24/11/2024,04:10,TON,SHORT,15
24/11/2024,04:10,ICP,SHORT,10
24/11/2024,07:10,LTC,LONG,10
24/11/2024,07:10,ADA,LONG,10
24/11/2024,07:10,ETH,LONG,10
24/11/2024,07:10,STX,LONG,10
24/11/2024,07:10,SUI,SHORT,20
24/11/2024,07:10,ICP,SHORT,10
24/11/2024,10:10,BTC,LONG,1
24/11/2024,10:10,ETH,LONG,1
24/11/2024,10:10,ADA,LONG,202
24/11/2024,10:10,DOGE,LONG,203
24/11/2024,10:10,SOL,LONG,154
24/11/2024,10:10,GRT,SHORT,105
24/11/2024,13:10,BTC,LONG,1
24/11/2024,13:10,ETH,LONG,20
24/11/2024,13:10,FTM,LONG,20
24/11/2024,13:10,ADA,LONG,10
24/11/2024,13:10,GRT,SHORT,15
24/11/2024,13:10,BTC,SHORT,10
24/11/2024,16:10,BTC,LONG,1
24/11/2024,16:10,ETH,LONG,1
24/11/2024,16:10,ADA,LONG,202
24/11/2024,16:10,FTM,LONG,203
24/11/2024,16:10,DOGE,LONG,154
24/11/2024,16:10,TRX,SHORT,105
24/11/2024,19:10,BTC,LONG,20
24/11/2024,19:10,AVAX,LONG,20
24/11/2024,19:10,DOGE,LONG,15
24/11/2024,19:10,DOGE,SHORT,15
24/11/2024,19:10,UNI,SHORT,10
24/11/2024,19:10,ICP,SHORT,10
24/11/2024,22:10,UNI,LONG,10
24/11/2024,22:10,STX,LONG,10
24/11/2024,22:10,AVAX,LONG,15
24/11/2024,22:10,SOL,SHORT,10
24/11/2024,22:10,BNB,SHORT,10
25/11/2024,01:10,BTC,LONG,20
25/11/2024,01:10,ETH,LONG,20
25/11/2024,01:10,ADA,LONG,20
25/11/2024,01:10,STX,LONG,20
25/11/2024,01:10,TAO,SHORT,10
25/11/2024,01:10,FTM,SHORT,10
25/11/2024,04:10,SOL,LONG,1
25/11/2024,04:10,GRT,LONG,1
25/11/2024,04:10,STX,LONG,2
25/11/2024,04:10,ICP,LONG,3
25/11/2024,04:10,ADA,SHORT,4
25/11/2024,07:10,BTC,LONG,20
25/11/2024,07:10,ETH,LONG,20
25/11/2024,07:10,ICP,LONG,20
25/11/2024,07:10,AVAX,LONG,20
25/11/2024,07:10,TAO,SHORT,15
25/11/2024,07:10,DOGE,SHORT,10
25/11/2024,10:10,ETH,LONG,20
25/11/2024,10:10,ADA,LONG,20
25/11/2024,10:10,BNB,LONG,20
25/11/2024,10:10,ICP,LONG,15
25/11/2024,10:10,DOGE,SHORT,15
25/11/2024,10:10,1000SHIB,SHORT,10
25/11/2024,13:10,TAO,LONG,10
25/11/2024,13:10,ETH,LONG,10
25/11/2024,13:10,AVAX,SHORT,10
25/11/2024,13:10,SOL,SHORT,15
25/11/2024,13:10,FTM,SHORT,10
